"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price"
"Trujet","2019-01-14","Mumbai","Kolkata","MUM --> KOL","08:45:00","10:45:00","2h 0m","non-stop","In-flight meal not included",3759
"IndiGo","2019-01-14","Hyderabad","Mumbai","HYD --> BAN --> MUM","21:15:00","02:15:00","5h 0m","1 stop","In-flight meal not included",8126
"SpiceJet","2019-01-14","Kolkata","Mumbai","KOL --> MUM","15:30:00","17:30:00","2h 0m","non-stop","Red-eye flight",7636
"Vistara","2019-01-14","Chennai","Mumbai","CHE --> KOL --> MUM","07:15:00","11:15:00","4h 0m","1 stop","Change airports",6929
"Air India","2019-01-15","Chennai","Delhi","CHE --> HYD --> COC --> DEL","09:00:00","16:45:00","7h 45m","2 stops","Change airports",13713
"SpiceJet","2019-01-15","Banglore","Chennai","BAN --> COC --> HYD --> CHE","14:45:00","23:15:00","8h 30m","2 stops","In-flight meal not included",9743
"Air India","2019-01-15","Delhi","Mumbai","DEL --> COC --> MUM","11:00:00","14:45:00","3h 45m","1 stop","No info",6162
"Air India","2019-01-15","Hyderabad","Delhi","HYD --> DEL","16:00:00","18:00:00","2h 0m","non-stop","1 Long layover",13194
"GoAir","2019-01-15","Chennai","Cochin","CHE --> HYD --> DEL --> COC","20:45:00","03:45:00","7h 0m","2 stops","No info",6530
"IndiGo","2019-01-15","Mumbai","Banglore","MUM --> CHE --> COC --> BAN","21:30:00","07:15:00","9h 45m","2 stops","Change airports",3088
"GoAir","2019-01-16","Kolkata","Delhi","KOL --> HYD --> MUM --> DEL","12:30:00","20:00:00","7h 30m","2 stops","No info",11869
"IndiGo","2019-01-16","Banglore","Delhi","BAN --> HYD --> DEL","21:15:00","03:15:00","6h 0m","1 stop","In-flight meal not included",14709
"Air India","2019-01-16","Chennai","Mumbai","CHE --> MUM","17:30:00","20:45:00","3h 15m","non-stop","No info",12833
"Air India","2019-01-16","Mumbai","Chennai","MUM --> KOL --> BAN --> CHE","05:30:00","13:00:00","7h 30m","2 stops","Business class",10726
"GoAir","2019-01-16","Delhi","Banglore","DEL --> MUM --> KOL --> BAN","05:15:00","12:00:00","6h 45m","2 stops","No info",3201
"IndiGo","2019-01-16","Delhi","Mumbai","DEL --> KOL --> HYD --> MUM","06:45:00","14:30:00","7h 45m","2 stops","In-flight meal not included",11805
"IndiGo","2019-01-16","Cochin","Mumbai","COC --> HYD --> CHE --> MUM","05:30:00","13:30:00","8h 0m","2 stops","Change airports",8430
"IndiGo","2019-01-17","Banglore","Cochin","BAN --> COC","14:30:00","17:45:00","3h 15m","non-stop","Business class",13541
"GoAir","2019-01-17","Hyderabad","Kolkata","HYD --> KOL","16:30:00","18:30:00","2h 0m","non-stop","In-flight meal not included",12518
"IndiGo","2019-01-17","Banglore","Chennai","BAN --> CHE","17:00:00","18:30:00","1h 30m","non-stop","In-flight meal not included",6636
"Multiple carriers Premium economy","2019-01-17","Chennai","Delhi","CHE --> COC --> KOL --> DEL","20:15:00","04:45:00","8h 30m","2 stops","1 Long layover",5209
"IndiGo","2019-01-17","Banglore","Kolkata","BAN --> HYD --> KOL","15:15:00","20:15:00","5h 0m","1 stop","Red-eye flight",6545
"Vistara","2019-01-17","Mumbai","Delhi","MUM --> BAN --> CHE --> DEL","17:45:00","01:30:00","7h 45m","2 stops","No info",10865
"GoAir","2019-01-17","Chennai","Mumbai","CHE --> HYD --> MUM","20:15:00","23:30:00","3h 15m","1 stop","No info",14339
"SpiceJet","2019-01-17","Hyderabad","Chennai","HYD --> BAN --> CHE","20:00:00","23:00:00","3h 0m","1 stop","1 Long layover",3943
"Air India","2019-01-18","Mumbai","Hyderabad","MUM --> BAN --> KOL --> HYD","11:00:00","17:00:00","6h 0m","2 stops","Change airports",13448
"IndiGo","2019-01-18","Chennai","Cochin","CHE --> COC","05:45:00","08:45:00","3h 0m","non-stop","1 Long layover",11005
"Air India","2019-01-18","Mumbai","Banglore","MUM --> BAN","15:15:00","17:15:00","2h 0m","non-stop","Business class",3131
"SpiceJet","2019-01-18","Delhi","Mumbai","DEL --> BAN --> CHE --> MUM","16:45:00","00:30:00","7h 45m","2 stops","Red-eye flight",12122
"IndiGo","2019-01-18","Delhi","Chennai","DEL --> KOL --> CHE","06:15:00","11:15:00","5h 0m","1 stop","No info",13769
"Vistara","2019-01-19","Delhi","Kolkata","DEL --> KOL","05:15:00","08:30:00","3h 15m","non-stop","Business class",12438
"Air India","2019-01-19","Chennai","Hyderabad","CHE --> COC --> KOL --> HYD","16:15:00","01:00:00","8h 45m","2 stops","Business class",9109
"Air India","2019-01-19","Delhi","Cochin","DEL --> COC","10:00:00","13:00:00","3h 0m","non-stop","No info",10375
"Vistara","2019-01-19","Mumbai","Delhi","MUM --> DEL","11:45:00","13:15:00","1h 30m","non-stop","Red-eye flight",9547
"Air India","2019-01-19","Chennai","Mumbai","CHE --> DEL --> HYD --> MUM","05:15:00","14:15:00","9h 0m","2 stops","No check-in baggage included",3212
"Vistara","2019-01-20","Banglore","Kolkata","BAN --> MUM --> KOL","14:30:00","17:30:00","3h 0m","1 stop","Red-eye flight",13768
"Air India","2019-01-20","Chennai","Banglore","CHE --> KOL --> MUM --> BAN","05:15:00","14:00:00","8h 45m","2 stops","No check-in baggage included",8355
"IndiGo","2019-01-20","Cochin","Chennai","COC --> CHE","18:30:00","20:45:00","2h 15m","non-stop","Red-eye flight",11842
"SpiceJet","2019-01-20","Mumbai","Hyderabad","MUM --> HYD","18:45:00","19:45:00","1h 0m","non-stop","Change airports",14720
"SpiceJet","2019-01-20","Banglore","Delhi","BAN --> DEL","08:15:00","09:45:00","1h 30m","non-stop","Change airports",7528
"Air India","2019-01-20","Delhi","Banglore","DEL --> BAN","12:15:00","15:15:00","3h 0m","non-stop","Change airports",5035
"Jet Airways","2019-01-20","Mumbai","Chennai","MUM --> CHE","11:30:00","14:30:00","3h 0m","non-stop","Red-eye flight",7591
"Vistara","2019-01-20","Delhi","Hyderabad","DEL --> COC --> MUM --> HYD","05:00:00","14:00:00","9h 0m","2 stops","No info",6804
"Air Asia","2019-01-20","Delhi","Mumbai","DEL --> CHE --> MUM","12:00:00","16:30:00","4h 30m","1 stop","No info",13852
"IndiGo","2019-01-21","Mumbai","Delhi","MUM --> DEL","12:00:00","13:00:00","1h 0m","non-stop","No info",4688
"SpiceJet","2019-01-21","Delhi","Mumbai","DEL --> CHE --> KOL --> MUM","19:45:00","03:30:00","7h 45m","2 stops","1 Long layover",12400
"Air Asia","2019-01-21","Banglore","Mumbai","BAN --> HYD --> DEL --> MUM","08:30:00","18:15:00","9h 45m","2 stops","No check-in baggage included",8985
"Air Asia","2019-01-21","Hyderabad","Chennai","HYD --> BAN --> COC --> CHE","14:00:00","20:30:00","6h 30m","2 stops","Business class",10475
"Air India","2019-01-21","Banglore","Chennai","BAN --> DEL --> KOL --> CHE","15:00:00","21:45:00","6h 45m","2 stops","Change airports",4835
"Air India","2019-01-21","Hyderabad","Kolkata","HYD --> BAN --> KOL","16:30:00","21:30:00","5h 0m","1 stop","No check-in baggage included",6161
"IndiGo","2019-01-21","Hyderabad","Mumbai","HYD --> MUM","10:45:00","13:00:00","2h 15m","non-stop","In-flight meal not included",14870
"IndiGo","2019-01-22","Hyderabad","Delhi","HYD --> COC --> BAN --> DEL","05:15:00","12:30:00","7h 15m","2 stops","No info",6274
"Air India","2019-01-22","Mumbai","Banglore","MUM --> CHE --> BAN","08:00:00","14:00:00","6h 0m","1 stop","In-flight meal not included",4530
"SpiceJet","2019-01-22","Kolkata","Delhi","KOL --> COC --> CHE --> DEL","07:45:00","17:30:00","9h 45m","2 stops","No info",13080
"SpiceJet","2019-01-22","Banglore","Kolkata","BAN --> DEL --> KOL","12:00:00","18:15:00","6h 15m","1 stop","Business class",6977
"Vistara","2019-01-22","Hyderabad","Cochin","HYD --> MUM --> CHE --> COC","12:15:00","20:15:00","8h 0m","2 stops","No info",14313
"IndiGo","2019-01-22","Banglore","Delhi","BAN --> MUM --> DEL","19:30:00","02:15:00","6h 45m","1 stop","In-flight meal not included",8302
"Air India","2019-01-22","Banglore","Mumbai","BAN --> MUM","09:45:00","13:00:00","3h 15m","non-stop","Change airports",8647
"Vistara","2019-01-22","Kolkata","Hyderabad","KOL --> HYD","14:45:00","17:45:00","3h 0m","non-stop","In-flight meal not included",7160
"IndiGo","2019-01-23","Banglore","Delhi","BAN --> HYD --> CHE --> DEL","13:30:00","22:00:00","8h 30m","2 stops","Business class",13580
"SpiceJet","2019-01-23","Chennai","Hyderabad","CHE --> HYD","07:30:00","09:45:00","2h 15m","non-stop","No info",4621
"IndiGo","2019-01-23","Banglore","Cochin","BAN --> HYD --> DEL --> COC","18:45:00","01:00:00","6h 15m","2 stops","Red-eye flight",8753
"Vistara","2019-01-23","Mumbai","Banglore","MUM --> KOL --> BAN","18:45:00","23:15:00","4h 30m","1 stop","No check-in baggage included",12332
"IndiGo","2019-01-23","Hyderabad","Mumbai","HYD --> MUM","16:30:00","17:45:00","1h 15m","non-stop","No info",12459
"IndiGo","2019-01-24","Banglore","Mumbai","BAN --> KOL --> COC --> MUM","21:00:00","06:00:00","9h 0m","2 stops","1 Long layover",4441
"IndiGo","2019-01-24","Chennai","Hyderabad","CHE --> COC --> KOL --> HYD","06:15:00","13:15:00","7h 0m","2 stops","No info",7198
"Air India","2019-01-24","Mumbai","Delhi","MUM --> BAN --> DEL","08:30:00","13:15:00","4h 45m","1 stop","1 Long layover",5942
"Jet Airways Business","2019-01-24","Chennai","Mumbai","CHE --> BAN --> MUM","12:30:00","17:45:00","5h 15m","1 stop","Business class",12983
"Trujet","2019-01-24","Kolkata","Delhi","KOL --> MUM --> DEL","13:00:00","17:45:00","4h 45m","1 stop","Red-eye flight",9654
"Vistara Premium economy","2019-01-25","Banglore","Chennai","BAN --> CHE","06:00:00","09:00:00","3h 0m","non-stop","In-flight meal not included",7636
"Air India","2019-01-25","Mumbai","Kolkata","MUM --> HYD --> KOL","20:30:00","00:00:00","3h 30m","1 stop","1 Long layover",6767
"IndiGo","2019-01-25","Hyderabad","Kolkata","HYD --> MUM --> KOL","16:00:00","21:00:00","5h 0m","1 stop","No info",12450
"IndiGo","2019-01-25","Banglore","Kolkata","BAN --> KOL","20:45:00","22:15:00","1h 30m","non-stop","Red-eye flight",3248
"SpiceJet","2019-01-25","Delhi","Chennai","DEL --> KOL --> HYD --> CHE","10:15:00","17:15:00","7h 0m","2 stops","1 Long layover",4340
"IndiGo","2019-01-25","Kolkata","Hyderabad","KOL --> MUM --> HYD","07:30:00","13:00:00","5h 30m","1 stop","In-flight meal not included",13129
"SpiceJet","2019-01-25","Chennai","Delhi","CHE --> COC --> BAN --> DEL","19:15:00","02:15:00","7h 0m","2 stops","Red-eye flight",11163
"Multiple carriers","2019-01-25","Kolkata","Delhi","KOL --> DEL","06:30:00","07:30:00","1h 0m","non-stop","Business class",5409
"IndiGo","2019-01-25","Banglore","Delhi","BAN --> COC --> KOL --> DEL","13:45:00","21:30:00","7h 45m","2 stops","In-flight meal not included",7727
"Vistara","2019-01-25","Delhi","Hyderabad","DEL --> KOL --> HYD","17:30:00","21:30:00","4h 0m","1 stop","Change airports",3607
"IndiGo","2019-01-26","Hyderabad","Delhi","HYD --> DEL","08:45:00","09:45:00","1h 0m","non-stop","1 Long layover",6362
"IndiGo","2019-01-26","Delhi","Cochin","DEL --> MUM --> KOL --> COC","08:00:00","16:15:00","8h 15m","2 stops","No info",7021
"Air Asia","2019-01-26","Chennai","Hyderabad","CHE --> DEL --> BAN --> HYD","12:15:00","20:45:00","8h 30m","2 stops","Red-eye flight",11914
"IndiGo","2019-01-26","Banglore","Kolkata","BAN --> DEL --> CHE --> KOL","08:15:00","15:00:00","6h 45m","2 stops","No check-in baggage included",5584
"IndiGo","2019-01-26","Hyderabad","Kolkata","HYD --> KOL","20:30:00","23:00:00","2h 30m","non-stop","No check-in baggage included",5613
"IndiGo","2019-01-27","Delhi","Banglore","DEL --> BAN","07:15:00","08:15:00","1h 0m","non-stop","No check-in baggage included",10005
"IndiGo","2019-01-27","Banglore","Mumbai","BAN --> DEL --> MUM","18:00:00","22:45:00","4h 45m","1 stop","Red-eye flight",12624
"IndiGo","2019-01-27","Cochin","Kolkata","COC --> CHE --> MUM --> KOL","11:15:00","18:15:00","7h 0m","2 stops","Red-eye flight",8276
"Vistara","2019-01-27","Banglore","Chennai","BAN --> CHE","20:00:00","23:00:00","3h 0m","non-stop","Red-eye flight",11684
"IndiGo","2019-01-27","Delhi","Hyderabad","DEL --> BAN --> MUM --> HYD","16:30:00","23:00:00","6h 30m","2 stops","In-flight meal not included",5065
"IndiGo","2019-01-27","Delhi","Chennai","DEL --> KOL --> BAN --> CHE","07:30:00","13:30:00","6h 0m","2 stops","No check-in baggage included",8382
"Multiple carriers Premium economy","2019-01-27","Chennai","Banglore","CHE --> KOL --> COC --> BAN","20:15:00","03:15:00","7h 0m","2 stops","1 Long layover",5209
"Multiple carriers","2019-01-27","Mumbai","Delhi","MUM --> BAN --> DEL","09:15:00","15:15:00","6h 0m","1 stop","In-flight meal not included",9230
"IndiGo","2019-01-28","Hyderabad","Banglore","HYD --> BAN","19:00:00","20:30:00","1h 30m","non-stop","Red-eye flight",9717
"Air Asia","2019-01-28","Delhi","Cochin","DEL --> KOL --> HYD --> COC","19:15:00","03:30:00","8h 15m","2 stops","No check-in baggage included",9591
"GoAir","2019-01-28","Kolkata","Banglore","KOL --> COC --> DEL --> BAN","21:45:00","05:45:00","8h 0m","2 stops","Red-eye flight",8337
"Multiple carriers Premium economy","2019-01-28","Delhi","Banglore","DEL --> MUM --> BAN","09:45:00","16:15:00","6h 30m","1 stop","No check-in baggage included",11239
"IndiGo","2019-01-28","Delhi","Hyderabad","DEL --> COC --> MUM --> HYD","19:30:00","04:15:00","8h 45m","2 stops","Business class",9866
"IndiGo","2019-01-28","Chennai","Mumbai","CHE --> KOL --> MUM","20:00:00","23:45:00","3h 45m","1 stop","No check-in baggage included",10824
